1,작별인사  ,김영하 (지은이) , 복복서가 , 2022년 5월,"14,000원 → 12,600원 (10%할인)"
2,흔한남매 10 ㅣ 흔한남매 10 ,"흔한남매 (지은이), 백난도 (글), 유난희 (그림), 흔한컴퍼니 (감수) ", 미래엔아이세움 , 2022년 4월,"13,500원 → 12,150원 (10%할인)"
3,여학교의 별 2 ,"와야마 야마 (지은이), 현승희 (옮긴이) ", 문학동네 , 2022년 5월,"8,500원 → 7,650원 (10%할인)"
4,둥실이네 떡집 ㅣ 난 책읽기가 좋아  ,"김리리 (지은이), 김이랑 (그림) ", 비룡소 , 2022년 4월,"11,000원 → 9,900원 (10%할인)"
5,애쓰지 않아도  ,"최은영 (지은이), 김세희 (그림) ", 마음산책 , 2022년 4월,"14,500원 → 13,050원 (10%할인)"
6,내가 틀릴 수도 있습니다 ,"비욘 나티코 린데블라드 (지은이), 토마스 산체스 (그림), 박미경 (옮긴이) ", 다산초당(다산북스) , 2022년 4월,"16,000원 → 14,400원 (10%할인)"
7,이상한 과자 가게 전천당 14 ㅣ 이상한 과자 가게 전천당 14 ,"히로시마 레이코 (지은이), 쟈쟈 (그림), 김정화 (옮긴이) ", 길벗스쿨 , 2022년 4월,"12,000원 → 10,800원 (10%할인)"
8,2022 제13회 젊은작가상 수상작품집  ,"임솔아, 김멜라, 김병운, 김지연, 김혜진, 서수진, 서이제 (지은이) ", 문학동네 , 2022년 4월,"7,700원 → 6,930원 (10%할인)"
9,물고기는 존재하지 않는다  ,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 , 2021년 12월,"17,000원 → 15,300원 (10%할인)"
10,5년 후 나에게 - Q&A a day (2022 메리골드 Edition) ,"포터 스타일 (지은이), 정지현 (옮긴이) ", 토네이도 , 2021년 11월,"16,800원 → 15,120원 (10%할인)"
11,불편한 편의점 (40만부 기념 벚꽃 에디션) ,김호연 (지은이) , 나무옆의자 , 2021년 4월,"14,000원 → 12,600원 (10%할인)"
12,저주토끼 (리커버)  ,정보라 (지은이) , 아작 , 2022년 4월,"14,800원 → 13,320원 (10%할인)"
13,가라오케 가자!  ,"와야마 야마 (지은이), 현승희 (옮긴이) ", 문학동네 , 2022년 4월,"8,500원 → 7,650원 (10%할인)"
14,"읽는 슬픔, 말하는 사랑  ",황인찬 (지은이) , 안온북스 , 2022년 4월,"16,000원 → 14,400원 (10%할인)"
